success,timeout,method,time,solution,num_vars,trial,initial_awt,awt_thr,initial_active,bundle_size,error
True,False,mm_bundled,3.3334471465941533,,500,7,0.10371747211895911,0.08297397769516729,269,100.0,
True,False,mm_bundled,0.4166722148011104,,500,7,0.10371747211895911,0.08297397769516729,269,250.0,
False,True,bfs,2.0,,500,8,0.10404858299595142,0.08323886639676115,247,,
False,True,mm,2.0,,500,8,0.10404858299595142,0.08323886639676115,247,,
True,False,mm_bundled,3.3323368548074086,,500,8,0.10404858299595142,0.08323886639676115,247,100.0,
True,False,mm_bundled,0.4167355832285286,,500,8,0.10404858299595142,0.08323886639676115,247,250.0,
False,True,bfs,2.0,,500,9,0.10374531835205993,0.08299625468164795,267,,
False,True,mm,2.0,,500,9,0.10374531835205993,0.08299625468164795,267,,
True,False,mm_bundled,3.3321866052829137,,500,9,0.10374531835205993,0.08299625468164795,267,100.0,
True,False,mm_bundled,0.4166325158729283,,500,9,0.10374531835205993,0.08299625468164795,267,250.0,
